Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-06-04,251.75689055796076,254.85479736328125,0.02170667995814357,2.688410721111069,255.4839185078939,257.6061721075149,1,0.0,0,0.0,0.02147444467563694,0.06945436385147043,0.07192314164482494,0.0,0.07834501540917518,0.08149572699999319
2019-06-05,256.4899726772522,257.06231689453125,0.00866187159939269,1.4256149762519783,255.26587549845377,257.1796162923177,1,0.0,0,0.0,0.008624572819662314,0.07807893667113275,0.08120800226216995,0.0,0.07834501540917518,0.08149572699999319
2019-06-06,257.3620768108058,258.7338562011719,0.006502467288219682,1.7072397160506512,255.3302116394043,257.04420689174106,1,0.0,0,0.0,0.0064814174491205365,0.08456035412025328,0.08823852192864101,0.0,0.07834501540917518,0.08149572699999319
2019-06-07,259.7605402627229,261.3231201171875,0.010007441445940568,1.82537482281424,255.4165153503418,257.0493977864583,1,0.0,0,0.0,0.0099576985942842,0.09451805271453748,0.09912900521605894,0.0,0.07834501540917518,0.08149572699999319
2019-06-10,262.88578488074216,262.52239990234375,0.004589260164268749,0.7715398908751467,255.66937891642252,257.14933413550966,1,0.0,0,0.0,0.004578761617960562,0.09909681433249803,0.10417319417508919,0.0,0.07834501540917518,0.08149572699999319
2019-06-11,264.35735974491917,262.4586486816406,-0.00024284107080707606,1.9252931360109073,256.1811383565267,257.18393961588544,1,0.0,0,0.0,-0.00024287056147437154,0.09885394377102366,0.10390505557425933,-0.0,0.07834501540917518,0.08149572699999319
2019-06-12,262.2225413766447,261.99542236328125,-0.0017649497194556218,0.3082077349325232,256.6058540344238,257.50969369070873,0,0.0,1,0.0,-0.0017665090782751133,0.09708743469274855,0.10195671865611788,0.0,0.07834501540917518,0.08149572699999319
2019-06-13,262.9129885175682,263.0765075683594,0.004126351503878967,0.23554196312448994,257.319761912028,257.7770480201358,0,0.0,1,0.0,0.004117861462761432,0.10120529615550998,0.10650377941935396,-0.0,0.07834501540917518,0.08149572699999319
2019-06-14,262.7857666015625,262.7857666015625,-0.0011051574672487074,0.3808734864779808,258.1517791748047,257.95874386742,0,1.0,1,0.0,-0.0011057686040721905,0.10009952755143779,0.10528091850498988,0.0,0.07834501540917518,0.08149572699999319
2019-06-17,263.0218553997234,262.8855895996094,0.00037986455407312825,-0.0551775784158508,258.93457285563153,258.0309833344959,0,1.0,1,1.0,0.0003797924237993191,0.10047931997523711,0.10570077554822332,0.006438535467017484,0.08478355087619267,0.0884814403447165
2019-06-18,264.72079441478223,265.6383361816406,0.01047127226039235,1.3438832468269766,260.2314198811849,258.31476919991627,0,1.0,1,1.0,0.010416828224755684,0.1108961481999928,0.11727886940751575,0.003972969151542492,0.08875652002773517,0.09281454547609047
2019-06-19,265.7746139748997,266.2379455566406,0.002257239612395434,0.9804708119963834,261.6312255859375,258.7088702973865,0,1.0,1,1.0,0.0022546958742267506,0.11315084407421955,0.11980083552963472,0.011859323917111616,0.10061584394484678,0.10585174051223523
2019-06-20,268.9452850575556,268.78173828125,0.009554583661209204,1.8889474800131438,262.79180399576825,259.11335899716335,3,1.0,0,1.0,0.009509227305270455,0.12266007137949,0.1305000662965945,-0.00162113585906315,0.09899470808578363,0.10406045695019484
